Date,Description,In (£),Out (£),Balance (£)
Oct 2,Electronic Deposit From 36 TREAS 310,7265.0,0,17752.68
Oct 3,Electronic Deposit From 36 TREAS,6400.0,0,24152.68
Oct 4,Electronic Deposit From CGS,11911.98,0,36064.66
Oct 11,Electronic Deposit From CGS,4972.84,0,41037.5
Oct 12,Electronic Deposit From 36 TREAS,4510.0,0,45547.5
Oct 12,Electronic Deposit From CGS,5597.43,0,51144.93
Oct 16,Electronic Deposit From 36 TREAS,2641.08,0,53786.01
Oct 17,Electronic Deposit From CGS,3036.78,0,56822.79
Oct 20,Electronic Deposit From 36 TREAS,760.0,0,57582.79
Oct 20,Electronic Deposit From CGS,11414.48,0,68997.27
Oct 23,Electronic Deposit From 36 TREAS,3150.0,0,72147.27
Oct 24,Electronic Deposit From CGS,305.71,0,72452.98000000001
Oct 24,Electronic Deposit From 36 TREAS,660.0,0,73112.98000000001
Oct 25,Electronic Deposit From CGS,11572.01,0,84684.99
Oct 27,Electronic Deposit From 36 TREAS,360.0,0,85044.99
Oct 27,Electronic Deposit From CGS,5819.54,0,90864.53
Oct 31,Electronic Deposit From CGS,7307.26,0,98171.79
Oct 2,Debit Purchase - VISA On 092917 MISSION KS 2720040130,0.0,0,98171.79
Oct 2,Debit Purchase - VISA On 092917 MISSION KS,0.0,0,98171.79
Oct 4,Debit Purchase - VISA On 100317 WWW.SOS.MO.G MO,0.0,0,98171.79
Oct 6,Debit Purchase - VISA On 100517 800-5563012 KS,0.0,0,98171.79
Oct 10,Debit Purchase - VISA On 100617 816-7638200 MO,0.0,0,98171.79
Oct 6,Electronic Withdrawal To BlueKc Com Stlmt,0.0,0,98171.79
Oct 6,Customer Withdrawal,0.0,0,98171.79
Oct 12,Branch Account Transfer To Account,0.0,0,98171.79
Oct 12,Branch Account Transfer To Account,0.0,0,98171.79
Oct 16,Electronic Withdrawal From PHILA INS,0.0,0,98171.79
Oct 16,Analysis Service Charge,0.0,0,98171.79
Oct 16,Electronic Withdrawal From PHILA INS,0.0,0,98171.79
Oct 25,Electronic Withdrawal From,0.0,0,98171.79
Oct 25,Branch Account Transfer To Account,0.0,0,98171.79
Oct 25,Branch Account Transfer To Account,0.0,0,98171.79
Oct 2,"16,522.58 Oct 12 18,634.31 Oct",21304.3,0,119476.09
Oct 3,"22,922.58 Oct 13 18,184.31 Oct",22270.01,0,141746.1
Oct 4,"31,783.31 Oct 16 5,815.27 Oct",15057.54,0,156803.64
Oct 6,"28,906.37 Oct 17 7,297.03 Oct",13251.29,0,170054.93000000002
Oct 10,"27,009.03 Oct 19 6,267.48 Oct",18837.12,0,188892.05000000002
Oct 11,"28,526.88 Oct 20 18,154.30 Oct",20144.38,0,209036.43000000002
